uniqueID,drugName,condition,review,rating,date,usefulCount,review_cleaned,sentiment_simple,security_alert,drug_name_grouped
206180,Eflornithine,Hirsutism,"""I&#039;m writing a second review on Vaniqa.  I started using this in February this year. Twice a day although some days/times I do forget. I just want to say how delighted I am to have found this. It has totally and completely changed my life! I had terrible male pattern hair growth all over my cheeks, chin, upper and lower lip and starting to grow down my neck. I used to pluck for up to 2 hrs a time every 3rd day but was never hair free. I wouldn&#039;t kiss anyone hello or goodbye as even plucked the stubble could be felt under my skin. 3 months on im not scared of being caught in bright sunlight I pluck around once a fortnight and it takes around 10 mins. The hairs that are coming through are soft and downy. My life is transformed.""",10,2014-05-11,99,i m writing a second review on vaniqa i started using this in february this year twice a day although some days times i do forget i just want to say how delighted i am to have found this it has totally and completely changed my life i had terrible male pattern hair growth all over my cheeks chin upper and lower lip and starting to grow down my neck i used to pluck for up to 2 hrs a time every 3rd day but was never hair free i wouldn t kiss anyone hello or goodbye as even plucked the stubble could be felt under my skin 3 months on im not scared of being caught in bright sunlight i pluck around once a fortnight and it takes around 10 mins the hairs that are coming through are soft and downy my life is transformed,Positive,0,Eflornithine
78563,Daytrana,ADHD,"""Hi all, My son who is 12 was diagnosed when he was in 2nd grade. We tried everything before medication. When we tried meds, the first one made him loose weight, fast. The second gave him a nasty tic that thankfully went away as soon as he stopped the med, the third worked for a couple of years and around January of last year we started to have problems so his doctor recommended Daytrana. It has been wonderful for my son! Easy to use, he handles this for himself each day and takes it off when he gets home from school. The patch effects last long enough for him to do his homework. He does have issues with weight gain and sleep but he uses melatonin before bed if he feels like he will not be able to shut down. The shortage is KILLING us!""",10,2017-01-12,11,hi all my son who is 12 was diagnosed when he was in 2nd grade we tried everything before medication when we tried meds the first one made him loose weight fast the second gave him a nasty tic that thankfully went away as soon as he stopped the med the third worked for a couple of years and around january of last year we started to have problems so his doctor recommended daytrana it has been wonderful for my son easy to use he handles this for himself each day and takes it off when he gets home from school the patch effects last long enough for him to do his homework he does have issues with weight gain and sleep but he uses melatonin before bed if he feels like he will not be able to shut down the shortage is killing us,Positive,0,Daytrana
132258,Ativan,Panic Disorde,"""Honestly, I have been taking ativan for 2 years now 1mg twice daily.  It does help but it should be used as a tool for panic attacks NOT A SOLUTION.  I have tried so many anti-depressants as well such as cymbalta, cipralex and a couple more.  The best thing is to talk to close friends and family or even a psychiatrist.  talking to people and venting is honestly the best thing you can do for yourself even though it takes a lot of will power to do it.  I would love to hear other people opinion.""",6,2015-06-01,47,honestly i have been taking ativan for 2 years now 1mg twice daily it does help but it should be used as a tool for panic attacks not a solution i have tried so many anti depressants as well such as cymbalta cipralex and a couple more the best thing is to talk to close friends and family or even a psychiatrist talking to people and venting is honestly the best thing you can do for yourself even though it takes a lot of will power to do it i would love to hear other people opinion,Neutral,0,Ativan
27339,Imitrex,Migraine,"""At first I suffered through them. This included splitting head pain, nausea, and vomiting. I started using Excedrin after a while which helped if I took it right away. Then that started to not work so well anymore. I had one really bad one that lasted hours. I was still throwing up at 9 pm and I was now throwing up blood. I went to the ER and when I finally got in they put me on an IV to hydrate me. They then added Imitrex to the bag and I soon started feeling side effects. My head felt like I was going to pass out. My breathing became labored and it felt like someone was sitting on my chest. They said that meant it was working. After about two minutes everything was gone. I got pills to take at home and they worked okay. Not as fast.""",8,2012-10-16,6,at first i suffered through them this included splitting head pain nausea and vomiting i started using excedrin after a while which helped if i took it right away then that started to not work so well anymore i had one really bad one that lasted hours i was still throwing up at 9 pm and i was now throwing up blood i went to the er and when i finally got in they put me on an iv to hydrate me they then added imitrex to the bag and i soon started feeling side effects my head felt like i was going to pass out my breathing became labored and it felt like someone was sitting on my chest they said that meant it was working after about two minutes everything was gone i got pills to take at home and they worked okay not as fast,Positive,0,Imitrex
51452,Azithromycin,,"""Very good response. It is so useful for me. """,10,2010-08-18,1,very good response it is so useful for me,Positive,0,Azithromycin
96233,Sertraline,Depression,"""1 week on Zoloft for anxiety and mood swings. I take 50mg in the mornings with my breakfast. Nausea on day one  but that subsided as the week went on.  I get the jitters about 2 hrs after taking it followed by yawning. I feel much better though and less angry/stressed.""",8,2011-05-07,3,1 week on zoloft for anxiety and mood swings i take 50mg in the mornings with my breakfast nausea on day one but that subsided as the week went on i get the jitters about 2 hrs after taking it followed by yawning i feel much better though and less angry stressed,Positive,0,Sertraline
204999,Toradol,Pain,"""I am 30 years old. I had a multiple composite spinal injuries 15 years ago. The aches and pains unbearable. I started taking anti-inflammatories about 2 years ago. I started getting injections every month of Toradol and &quot;Depo&quot; something. I am almost off all pain meds I mean I still have bad days but I can function again.""",10,2013-02-11,16,i am 30 years old i had a multiple composite spinal injuries 15 years ago the aches and pains unbearable i started taking anti inflammatories about 2 years ago i started getting injections every month of toradol and quot depo quot something i am almost off all pain meds i mean i still have bad days but i can function again,Positive,0,Toradol
214453,Tioconazole,Vaginal Yeast Infection,"""The burning is out of control about 20 minutes after inserting it . Sat in the bath trying to get this stuff out . This is awful""",1,2015-09-11,2,the burning is out of control about 20 minutes after inserting it sat in the bath trying to get this stuff out this is awful,Negative,0,Tioconazole
71188,Viberzi,Irritable Bowel Syndrome,"""Have been taking Viberzi for a month now for IBS-D and I can&#039;t be happier. I have ZERO side effects. Thank you for making me normal again!!!!!!""",8,2016-07-05,15,have been taking viberzi for a month now for ibs d and i can t be happier i have zero side effects thank you for making me normal again,Positive,0,Viberzi
80520,Mobic,Osteoarthritis,"""Reduced my pain by 80% and lets me live a normal life again!""",10,2015-05-13,82,reduced my pain by 80 and lets me live a normal life again,Positive,0,Mobic
125343,Dulcolax,Constipation,"""SO MUCH PAIN! 
In the last 2 years I have suffered with a brain tumour so have been in a LOT of pain to the point of morphine everyday for a year. Then I had brain surgery...but the pain from this pill came pretty close!! In serious pain to the point of blacking out hot and cold shivers and just sat in pain feeling like trapped wind/indigestion it&#039;s just.. Ahhhh!!!! Don&#039;t take this!!!""",1,2016-02-13,10,so much pain in the last 2 years i have suffered with a brain tumour so have been in a lot of pain to the point of morphine everyday for a year then i had brain surgery but the pain from this pill came pretty close in serious pain to the point of blacking out hot and cold shivers and just sat in pain feeling like trapped wind indigestion it s just ahhhh don t take this,Negative,0,Dulcolax
93678,Morphine,Pain,"""I have been on morphine for at least 7 years..It is the only medicine that seems to manage my pain. Without it I would be in bed 90% of the time. With it I can have a life.""",8,2010-05-08,19,i have been on morphine for at least 7 years it is the only medicine that seems to manage my pain without it i would be in bed 90 of the time with it i can have a life,Positive,0,Morphine
